Title,Rating,Votes,Duration,Genre
Little Hearts,5.8,2200,136.0,Romance
Funmilayo Ransome-Kuti,8.5,93,91.0,Romance
Koi wo Shiranai Bokutachi wa,0.0,0,111.0,Romance
Christmas on the Ranch,6.1,136,86.0,Romance
A Country Music Christmas,6.5,97,0.0,Romance
Powder Pup,6.2,73,89.0,Romance
Santa's Cousin,7.9,25,0.0,Romance
Double Blended,5.5,51,87.0,Romance
Last Song for You,7.3,89,110.0,Romance
Lula Leblanc,7.1,37,96.0,Romance
Ondu Sarala Prema Kathe,7.5,711,149.0,Romance
Pranaya Godari,7.8,2400,148.0,Romance
Mercy Killing,8.7,2700,131.0,Romance
Love Stuck,5.6,151,116.0,Romance
Shooting My Life's Script,6.2,332,95.0,Romance
Khwaabon Ka Jhamela,6.1,105,113.0,Romance
Enchanting Christmas,6.4,348,91.0,Romance
Nie Xiaoqian,6.4,15,112.0,Romance
Goreyan Naal Lagdi Zameen Jatt Di,7.7,27,108.0,Romance
A Bluegrass Christmas,6.0,227,84.0,Romance
To potami,6.6,13,93.0,Romance
"Chances Are, You and I",6.1,104,132.0,Romance
Samana Sunrise,6.5,61,100.0,Romance
Ram Bharosey,9.5,33,0.0,Romance
Honey Money Phony,6.2,168,115.0,Romance
Letuchiy korabl,3.8,290,100.0,Romance
Holiday for Hire,5.8,187,84.0,Romance
Coven of the Black Cube,8.3,18,97.0,Romance
Visal Adare,5.9,138,120.0,Romance
"Love, Sitara",5.3,295,105.0,Romance
Love Is Never on Time,8.9,57,110.0,Romance
The Heartbreak Agency,5.3,710,94.0,Romance
I Don't Know,0.0,0,98.0,Romance
Heartbreak Motel,7.0,287,115.0,Romance
"Fool Me Once, Revenge on You",7.0,8,0.0,Romance
Jatt & Juliet 3,5.4,1800,135.0,Romance
Election,5.9,807,120.0,Romance
Yo no soy esa,4.9,270,95.0,Romance
Teasing Master Takagi-san Movie,6.7,279,119.0,Romance
Eating Me Up,8.6,289,104.0,Romance
Kajolrekha,6.3,170,156.0,Romance
Éden & Charlie,8.3,8,45.0,Romance
This Is Not A Love Song,7.1,26,72.0,Romance
Land of Broken Hearts,6.3,179,100.0,Romance
Letters at Christmas,3.7,168,84.0,Romance
Artist Unknown,9.2,11,82.0,Romance
Do I Shock U Like Lightning,9.2,18,97.0,Romance
Penguin Girl,6.8,5,98.0,Romance
Soft Love,6.6,34,114.0,Romance
Fragments of Us,8.3,8,49.0,Romance
Christmas Overtime,5.2,20,92.0,Romance
Onegin,7.0,1200,141.0,Romance
Miracle Mile,8.7,27,82.0,Romance
Hold Me Close,6.6,9,98.0,Romance
Lyod 3,6.0,294,134.0,Romance
Silent Love,6.3,337,116.0,Romance
Sevmek Yüzünden,3.6,615,104.0,Romance
Lady Outlaw,6.8,16,104.0,Romance
Kagojer Bou,6.0,24,112.0,Romance
Lyubov Sovetskogo Soyuza,5.1,245,150.0,Romance
My Boo,6.1,653,125.0,Romance
Valentine's Town,5.3,183,84.0,Romance
"Dao, Pho Va Piano",5.9,189,100.0,Romance
Marriage Mansion,9.1,23,0.0,Romance
Nikdo me nemá rád,5.8,37,84.0,Romance
Future Date,6.6,120,82.0,Romance
Bad Boy's Security,0.0,0,82.0,Romance
The Day Before Christmas,8.1,60,0.0,Romance
Young Lion of the West,8.1,106,93.0,Romance
Komandir,6.3,513,131.0,Romance
Petta Rap,4.2,1700,123.0,Romance
Svemu dodje kraj,6.7,251,89.0,Romance
Sign Here,6.2,242,100.0,Romance
Ye xiao nü sheng,7.4,27,110.0,Romance
Un/Happy for You,5.6,342,110.0,Romance
Momma's Boy,3.8,47,105.0,Romance
14 Days Love,7.5,8,112.0,Romance
Lobola Man,4.6,201,108.0,Romance
Sunlight,7.9,17,96.0,Romance
Her Seyin Basi Merkür,3.6,144,105.0,Romance
Undying,6.7,13,26.0,Romance
Jee Ve Sohneya Jee,6.7,260,141.0,Romance
Once Upon a Honeymoon,6.8,21,109.0,Romance
Because I Love Bad Weather,6.2,130,100.0,Romance
